Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Gender_Author 6,Gender_Author 7,Gender_Author 8,Gender_Author 9,Gender_Author 10
1,1,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540987,The purpose of theEuropean Journal of Law and Economics and the intentions of its editors,March 1994,Jürgen G. Backhaus,Frank H. Stephen,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540988,Court errors,March 1994,Gordon Tullock,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540989,Expected damage and due care,March 1994,Frank H. Stephen,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540990,Institutional law and economics,March 1994,A. Allan Schmid,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540991,The economic analysis of public law,March 1994,Susan Rose-Ackerman,,,,,,,,,,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540992,Call for papers,March 1994,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540799,Preface,October 1994,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540800,The economic functions of supreme auditing institutions: Purpose of the conference,October 1994,Jürgen G. Backhaus,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540801,TheContaduria Mayor de Cuentas at the time of Ferdinand and Isabella of Castile (1474–1516),October 1994,Esteban Hernández-Esteve,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540802,The DutchAlgemene Rekenkamer and its role in light of contemporary theory,October 1994,Willem J. Van Braband,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540803,The DutchAlgemene Rekenkamer and its role in light of practical experience,October 1994,Henk H. G. Koolen,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
