Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Gender_Author 6,Gender_Author 7,Gender_Author 8,Gender_Author 9,Gender_Author 10
1,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050001,Computational intelligence techniques in geography. An introduction,March 1999,Tavi Murray,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050002,Improving neural network performance on the classification of complex geographic datasets,March 1999,Mark Gahegan,Gordon German,Geoff West,,,,,,,,Male,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050003,Fuzzy mapping of tropical land cover along an environmental gradient from remotely sensed data with an artificial neural network,March 1999,Giles M. Foody,Doreen S. Boyd,,,,,,,,,Male,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050004,Using computational intelligence techniques to model subglacial water systems,March 1999,Simon Corne,Tavi Murray,Ian Turton,,,,,,,,Male,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050005,Parallel processing for geographical applications: A layered approach,March 1999,Michael J. Mineter,Steve Dowers,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050006,Logics for geographic information,March 1999,Oliver Lemon,Ian Pratt,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050007,The econometric estimation and testing of DARP models,July 1999,Emilio Casetti,Ayse Can,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050008,Statistical methods for analyzing the distribution of spatial objects in relation to a surface,July 1999,Yukio Sadahiro,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050009,Coupling land use allocation models with raster GIS,July 1999,Robert G. Cromley,Dean M. Hanink,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050010,LAND USE SCANNER: An integrated GIS based model for long term projections of land use in urban and rural areas,July 1999,Maarten Hilferink,Piet Rietveld,,,,,,,,,Male,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050011,Terrain complexity and reduction of topographic data,July 1999,Yue-Hong Chou,Pin-Shuo Liu,Raymond J. Dezzani,,,,,,,,,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050012,GIS-based simulation as an exploratory analysis for space-time processes,October 1999,Fulong Wu,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050013,Identifying local spatial association in flow data,October 1999,Svante Berglund,Anders Karlström,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050014,On the design of formal theories of geographic space,October 1999,Thomas Bittner,Andrew U. Frank,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050015,Participation in higher education: A geodemographic perspective on the potential for further expansion in student numbers,October 1999,Peter Batey,Peter Brown,Mark Corver,,,,,,,,Male,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,4,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050016,An integrated urban systems model with GIS,December 1999,Jinsoo You,Tschangho John Kim,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,4,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050017,Accuracy of areal interpolation: A comparison of alternative methods,December 1999,Yukio Sadahiro,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,4,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050018,Stability and mixing conditions for HIV/AIDS models with regional compartments,December 1999,Richard Thomas,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,4,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050019,Spatial analysis using clustering methods: Evaluating central point and median approaches,December 1999,Alan T. Murray,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,4,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050020,Hotbeds of crime and the search for spatial accuracy,December 1999,J. H. Ratcliffe,M. J. McCullagh,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050021,Introduction,March 2000,Arthur Getis,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050022,Part 1 Spatial analysts and GIS practitioners,March 2000,Michael F. Goodchild,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
