Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Gender_Author 6,Gender_Author 7,Gender_Author 8,Gender_Author 9,Gender_Author 10
1,1,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764291,A world model of international trade: Forecasting market shares and trade flows,March 1976,K. Marwah,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764292,The estimation of distributed lags by spline functions,March 1976,C. Corradi,G. Gambetta,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764293,Identification of industrial complexes from the input-output tables of Canada and the USA: Some empirical tests,March 1976,B. K. Lodh,J. S. Lewis,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764610,"An econometric model of international capital flows and the foreign exchange market: The German case, 1961 I–1970 IV",June 1976,G. Sandermann,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764611,A model for capital movements in Finland's balance of payments,June 1976,E. Aurikko,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764612,Do new factories embodypotential best practice technology?,June 1976,E. Eide,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764613,Polynomial approximation of distributed lags and linear restrictions: A Bayesian approach,June 1976,M. Mouchart,R. Orsi,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764687,Results of a vintage-capital model for the Federal Republic of Germany,September 1976,B. Görzig,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764688,Stochastic properties of a linear econometric model of the Federal Republic of Germany,September 1976,J. Wolters,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,3,Empirical Economics,,https://link.springer.com/article/10.1007/BF01764689,The monetary sector of the german economy,September 1976,J. Martiensen,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
