Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Gender_Author 6,Gender_Author 7,Gender_Author 8,Gender_Author 9,Gender_Author 10
1,1,Brazilian Journal of Science and Technology,22 January 2014,https://link.springer.com/article/10.1186/2196-288X-1-5,Incremental forming process strategy variation analysis through applied strains,December 2014,Fabio Andre Lora,Lirio Schaeffer,,,,,,,,,Male,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Brazilian Journal of Science and Technology,22 January 2014,https://link.springer.com/article/10.1186/2196-288X-1-4,Evaluation of sustainability using the AISHE Instrument: case study in a Brazilian University,December 2014,Luciana Londero Brandli,Marcos Antonio Leite Frandoloso,Letícia Canal Vieira,,,,,,,,Female,Male,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Brazilian Journal of Science and Technology,22 January 2014,https://link.springer.com/article/10.1186/2196-288X-1-3,Geographical distribution of sheep breeds in Brazil and their relationship with climatic and environmental factors as risk classification for conservation,December 2014,Concepta McManus,Potira Hermuche,Clayton Mendes,,,,,,,,Female,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Brazilian Journal of Science and Technology,22 January 2014,https://link.springer.com/article/10.1186/2196-288X-1-2,Combining innovation and sustainability: an educational paradigm for human development on earth,December 2014,Ronaldo Mota,João FG Oliveira,,,,,,,,,Male,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1,Brazilian Journal of Science and Technology,22 January 2014,https://link.springer.com/article/10.1186/2196-288X-1-1,Editorial: realizing Brazil’s potential as a world class research nation,December 2014,Walter Leal Filho,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Brazilian Journal of Science and Technology,12 November 2015,https://link.springer.com/article/10.1186/s40552-015-0012-1,A new approach in mobile gaming on cloud-based architecture using Citrix and VMware technologies,December 2015,Rajesh Bose,Debabrata Sarddar,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Brazilian Journal of Science and Technology,14 September 2015,https://link.springer.com/article/10.1186/s40552-015-0011-2,The practice of innovation at brazilian public university: the case of the University of São Paulo,December 2015,Luciane Meneguin Ortega,Vanderlei Salvador Bagnato,,,,,,,,,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Brazilian Journal of Science and Technology,04 September 2015,https://link.springer.com/article/10.1186/s40552-015-0010-3,Public policies and selective visual attention: the effectiveness of awareness messages among young people about the consumption of alcoholic beverages in Brazil,December 2015,Renê de Oliveira Joaquim dos Santos,Jorge Henrique Caldeira de Oliveira,Adriano Rogério Bruno Tech,,,,,,,,Unknown,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Brazilian Journal of Science and Technology,25 August 2015,https://link.springer.com/article/10.1186/s40552-015-0009-9,Red ceramics produced from mixtures of kaolinite clay and waste glass,December 2015,Emmanuel Tiffo,Antoine Elimbi,Arlin Bruno Tchamba,,,,,,,,Male,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Brazilian Journal of Science and Technology,27 June 2015,https://link.springer.com/article/10.1186/s40552-015-0008-x,A novel approach on weight based optimized routing for mobile cloud computing,December 2015,Debabrata Sarddar,Rajesh Bose,Sudipta Sahana,,,,,,,,Unknown,Male,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Brazilian Journal of Science and Technology,07 May 2015,https://link.springer.com/article/10.1186/s40552-015-0007-y,The scientific information provided through patents and its limited use in scientific research at universities,December 2015,Cristiano Gonçalves Pereira,Rodrigo Ribeiro da Silva,Geciane Silveira Porto,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,1,Brazilian Journal of Science and Technology,06 March 2015,https://link.springer.com/article/10.1186/s40552-014-0006-4,Eco-innovation in the Brazilian sugar-ethanol industry: a case study,December 2015,David Ferreira Lopes Santos,Leonardo Fernando Cruz Basso,Vinicius Amorim Sobreiro,,,,,,,,Male,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,17 September 2016,https://link.springer.com/article/10.1186/s40552-016-0037-0,Spatialized potential for biomass energy production in Brazil: an overview,December 2016,Ana Pimenta Ribeiro,Michael Rode,,,,,,,,,Female,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,13 September 2016,https://link.springer.com/article/10.1186/s40552-016-0036-1,Assessment of smartphones using multimethodology,December 2016,Musbah Koleilat,Marcos Pereira Estellita Lins,,,,,,,,,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,24 August 2016,https://link.springer.com/article/10.1186/s40552-016-0034-3,Economics of Brazilian performing arts: financing and employment,December 2016,Manoel Silvestre Friques,Brayan Luque,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,22 July 2016,https://link.springer.com/article/10.1186/s40552-016-0032-5,"Creativity, Production Engineering and entertainment industry",December 2016,Vinícius Carvalho Cardoso,Gabriel Bouhid Barradas,,,,,,,,,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,20 July 2016,https://link.springer.com/article/10.1186/s40552-016-0031-6,Understanding phosphorus dynamics on wheat plant under split-root system in alkaline soil,December 2016,Rubya Shabnam,Md Toufiq Iqbal,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,27 June 2016,https://link.springer.com/article/10.1186/s40552-016-0030-7,Phosphorus use efficiency by wheat plants that grown in an acidic soil,December 2016,Rubya Shabnam,Md. Toufiq Iqbal,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,11 May 2016,https://link.springer.com/article/10.1186/s40552-016-0029-0,Enzyme technology in Brazil: trade balance and research community,December 2016,Karina de Godoy Daiha,Gabriela Coelho Brêda,Rodrigo Volcan Almeida,,,,,,,,Female,Female,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1,Brazilian Journal of Science and Technology,05 May 2016,https://link.springer.com/article/10.1186/s40552-016-0027-2,Knowledge flows and linkage with universities: the vision of Mexican farmers,December 2016,Gabriela Dutrénit,Rene Rivera-Huerta,Alexandre O. Vera-Cruz,,,,,,,,Female,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
